%time,field.header.seq,field.header.stamp,field.header.frame_id,field.action,field.src_id,field.dest_id,field.relative_rad
1649337281951750225,0,1649337281951543501,,1,0,0,0.0
1649337282874474221,1,1649337282874328916,,1,0,1,0.0
1649337283928437212,2,1649337283928321307,,1,1,2,0.0
1649337284927900601,3,1649337284927771861,,1,2,3,0.0
1649337285890304024,4,1649337285890175430,,1,3,4,0.0
1649337286914097490,5,1649337286913804744,,1,4,5,0.0
1649337287900853126,6,1649337287900683477,,1,5,6,0.0
1649337288889341676,7,1649337288889217227,,1,6,7,0.0
1649337289932097390,8,1649337289931986216,,1,7,8,0.0
1649337290952172317,9,1649337290952066998,,1,8,9,0.0
1649337291905390100,10,1649337291905156997,,1,9,10,0.0
1649337292935481811,11,1649337292935325112,,1,10,11,0.0
1649337293950863904,12,1649337293950668197,,1,11,12,0.0
1649337294963773956,13,1649337294963595433,,1,12,13,0.0
1649337295941071289,14,1649337295940956412,,1,13,14,0.0
1649337296954340519,15,1649337296954203600,,1,14,15,0.0
1649337297997098375,16,1649337297996964311,,1,15,16,0.0
1649337298964304951,17,1649337298964158966,,1,16,17,0.0
1649337299972478854,18,1649337299972362173,,1,17,18,0.0
1649337300947828709,19,1649337300947188842,,1,18,19,0.0
1649337302436933017,20,1649337302436763513,,1,19,20,0.0
1649337303001937540,21,1649337303001815082,,1,20,21,0.0
1649337304013098892,22,1649337304012946061,,1,21,22,0.0
1649337304994477471,23,1649337304993909754,,1,22,23,0.0
1649337305994902696,24,1649337305994709443,,1,23,24,0.0
1649337306988698665,25,1649337306988590889,,1,24,25,0.0
1649337308005494919,26,1649337308005340402,,1,25,26,0.0
1649337309003081345,27,1649337309002931808,,1,26,27,0.0
1649337310038855616,28,1649337310038238316,,1,27,28,0.0
1649337311014728044,29,1649337311014589354,,1,28,29,0.0
1649337312040962031,30,1649337312040241112,,1,29,30,0.0
1649337313037431844,31,1649337313037317594,,1,30,31,0.0
1649337314050683646,32,1649337314050504141,,1,31,32,0.0
1649337315021557288,33,1649337315021436588,,1,32,33,0.0
1649337316030130762,34,1649337316030009861,,1,33,34,0.0
1649337317268925785,35,1649337317268807949,,1,34,35,0.0
1649337318022927932,36,1649337318022776193,,1,35,36,0.0
1649337319055526789,37,1649337319055315600,,1,36,37,0.0
1649337320019113826,38,1649337320018996034,,1,37,38,0.0
1649337321050811993,39,1649337321050671101,,1,38,39,0.0
