%time,field.header.seq,field.header.stamp,field.header.frame_id,field.current_id,field.relative_rad
1649337281946891386,2,1649337281944308042,,1,0.0
1649337282862831409,3,1649337282858412027,,2,0.0
1649337283926799370,4,1649337283919385910,,3,0.0
1649337284923563868,5,1649337284918565988,,4,0.0
1649337285881511741,6,1649337285880804061,,5,0.0
1649337286904083630,7,1649337286903676986,,6,0.0
1649337287894838182,8,1649337287890923023,,7,0.0
1649337288881001484,9,1649337288880528926,,8,0.0
1649337289923265110,10,1649337289922893047,,9,0.0
1649337290942140520,11,1649337290941812038,,10,0.0
1649337291898918640,12,1649337291894186019,,11,0.0
1649337292926381410,13,1649337292926024913,,12,0.0
1649337293940603763,14,1649337293940013885,,13,0.0
1649337294953245791,15,1649337294952840089,,14,0.0
1649337295930821378,16,1649337295929447889,,15,0.0
1649337296943685281,17,1649337296943347930,,16,0.0
1649337297988033361,18,1649337297987410068,,17,0.0
1649337298954275920,19,1649337298953733921,,18,0.0
1649337299960943650,20,1649337299960648059,,19,0.0
1649337300937273036,21,1649337300936897039,,20,0.0
1649337302425890867,22,1649337302425343036,,21,0.0
1649337302992399727,23,1649337302991934061,,22,0.0
1649337304001933960,24,1649337304001702070,,23,0.0
1649337304983809081,25,1649337304983582019,,24,0.0
1649337305990996352,26,1649337305983817100,,25,0.0
1649337306978455140,27,1649337306978048086,,26,0.0
1649337307995367621,28,1649337307994982957,,27,0.0
1649337308994878366,29,1649337308992389917,,28,0.0
1649337310034810625,30,1649337310028477907,,29,0.0
1649337311003824845,31,1649337311003354072,,30,0.0
1649337312028963162,32,1649337312028542995,,31,0.0
1649337313035086702,33,1649337313026884078,,32,0.0
1649337314039714249,34,1649337314039436101,,33,0.0
1649337315018818881,35,1649337315011755943,,34,0.0
1649337316022856277,36,1649337316019594907,,35,0.0
1649337317258821115,37,1649337317258287906,,36,0.0
1649337318014072395,38,1649337318013741016,,37,0.0
1649337319044260924,39,1649337319043792009,,38,0.0
1649337320009264983,40,1649337320008861064,,39,0.0
1649337321040038148,41,1649337321039779901,,40,0.0
1649337322005512912,42,1649337322003911018,,41,0.0
1649337323036481075,43,1649337323036243915,,42,0.0
1649337324010289994,44,1649337324010087966,,43,0.0
1649337325438930933,45,1649337325438585996,,44,0.0
1649337326038081365,46,1649337326037633895,,45,0.0
1649337327250418320,47,1649337327249864101,,46,0.0
1649337328010500068,48,1649337328010265111,,47,0.0
1649337329023520504,49,1649337329023262023,,48,0.0
1649337330223645445,50,1649337330223164081,,49,0.0
1649337332716156660,51,1649337332715548038,,50,0.0
1649337333021940270,52,1649337333021590948,,51,0.0
1649337333344672507,53,1649337333344293117,,52,0.0
1649337333991339011,54,1649337333990923881,,53,0.0
1649337335038828382,55,1649337335031783103,,54,0.0
1649337336023746732,56,1649337336023411989,,55,0.0
